Player,Team,Proj Min,Confidence,Injury,L5,L10,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
Tyrese Martin,PHI,,,Available,7.2,8.8,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0
Dalen Terry,PHI,,,Available,4.9,0.0,4.4,0.0,0.0,6.2,4.2,0.0,0.0,0.0,0.0,0.0
Trendon Watford,PHI,4.6,low,Available,6.1,0.0,4.7,0.0,0.0,7.0,6.6,0.0,0.0,0.0,4.9,0.0
Jabari Walker,PHI,4.5,low,Available,5.4,5.1,4.4,0.0,0.0,4.2,7.6,0.0,4.3,0.0,4.9,0.0
Johni Broome,PHI,,,Available,3.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jrue Holiday,POR,37,high,Available,36.9,34.0,37.0,40.5,39.0,35.6,32.5,31.7,31.5,38.9,37.0,31.8
Deni Avdija,POR,36,high,Available,35.2,35.0,36.9,36.7,29.8,39.5,33.1,35.1,37.5,39.5,37.0,34.1
Toumani Camara,POR,33,high,Available,33.0,33.4,31.5,33.5,34.8,31.9,33.5,32.9,40.0,34.9,39.0,32.6
Scoot Henderson,POR,31,high,Available,31.1,31.4,27.1,36.1,38.0,27.1,27.1,31.1,38.0,35.7,20.0,28.8
Jerami Grant,POR,25,medium,Available,23.8,0.0,32.9,22.6,20.3,19.2,0.0,0.0,0.0,0.0,0.0,0.0
Robert Williams,POR,24,medium,Available,22.8,20.0,26.4,25.0,23.5,16.6,22.5,17.6,12.8,23.0,23.0,18.0
Donovan Clingan,POR,21,high,Available,20.7,23.9,14.2,20.0,23.9,21.7,23.8,28.1,28.3,30.0,22.0,28.9
Shaedon Sharpe,POR,14,medium,Available,15.6,15.5,12.7,13.8,12.7,21.9,17.0,15.2,0.0,0.0,0.0,0.0
Kris Murray,POR,12,low,Available,10.8,17.1,12.5,1.5,7.8,2.1,30.2,20.4,12.4,21.8,20.0,31.1
Chris Youngblood,POR,,,Available,8.2,6.2,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0
Matisse Thybulle,POR,8,low,Available,11.2,18.1,0.0,6.4,10.3,20.9,7.1,18.2,24.1,33.2,31.0,23.9
Vit Krejci,POR,,,Available,2.1,0.0,1.5,1.0,0.0,0.9,4.9,0.0,0.0,0.0,0.0,0.0
Sidy Cissoko,POR,,,Available,2.0,6.0,4.4,1.0,0.0,0.9,1.6,2.6,8.9,8.0,9.0,8.5
Hansen Yang,POR,,,Available,1.2,2.9,1.5,1.0,0.0,0.9,1.6,1.9,0.0,0.0,0.0,0.0
Blake Wesley,POR,,,Available,1.2,2.9,1.5,1.0,0.0,0.9,1.6,1.9,4.3,0.0,0.0,1.1
Damian Lillard,POR,,,Out,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caleb Love,POR,,,Available,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,2.2,0.0,0.0,1.1
Jayson Kent,POR,,,Available,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.4,0.0,0.0,0.0,0.0
De'Aaron Fox,SA,36,high,Available,35.3,33.0,38.8,36.5,33.6,34.1,33.3,27.5,34.5,26.5,40.4,29.0
Devin Vassell,SA,34,high,Available,33.7,32.4,34.9,32.5,33.9,34.2,33.1,27.4,31.0,30.1,39.2,29.0
Stephon Castle,SA,33,high,Available,32.0,33.0,26.3,34.1,37.8,32.6,29.4,0.0,0.0,30.6,40.3,33.0
Victor Wembanyama,SA,28,medium,Available,26.3,27.0,34.3,0.0,11.7,32.8,0.0,26.2,0.0,15.7,39.6,0.0
Julian Champagnie,SA,28,high,Available,27.6,27.7,28.9,27.2,26.5,30.0,25.3,26.8,26.8,26.7,33.0,28.0
